+----+----+----+----+----+-----+----+-----+-----+-----+---+---+---+---+----------------------------------+
| clk|addr|next|   Y|   F| REG0|   Q| REG3| REG2| REG1|OVR| C4| F3|  Z|comment                           |
+----+----+----+----+----+-----+----+-----+-----+-----+---+---+---+---+----------------------------------+
|   0|   0|   0|0000|0000| 0000|0000| 0000| 0000| 0000| 0 | 0 | 0 | 0 |                                  |
|   1|   0|   1|1001|1001| 0000|0000| 0000| 0000| 1001| 0 | 0 | 0 | 0 |1001 -> REG1, 0 or D              |
|   2|   1|   2|0101|0101| 0000|0000| 0000| 0101| 1001| 0 | 0 | 1 | 0 |0101 -> REG2  0 or D              |
|   3|   2|   3|0000|0000| 0000|0000| 0000| 0101| 1001| 0 | 0 | 0 | 0 |0 -> REG0     0 and D             |
|   4|   3|   4|0100|0100| 0000|0000| 0100| 0101| 1001| 0 | 0 | 0 | 1 |4 -> REG3     0 or D              |
|   5|   4|   5|1000|1000| 0000|0000| 0100| 0101| 1001| 0 | 0 | 0 | 0 |F = 1000(D) and REG1(B)           |
|   6|   5|   6|0000|0000| 0000|0000| 0100| 0101| 1001| 0 | 0 | 1 | 0 |if Z = 1, to 7, don't write result|
|   7|   6|   7|0101|0101| 0000|0101| 0100| 0101| 1001| 0 | 0 | 0 | 1 |Q = Q + REG2(A),                  |
|   8|   7|   8|0000|0000| 0000|1010| 0100| 0101| 1001| 0 | 0 | 0 | 0 |<< {REG0(A), Q} <- 0,             |
|   9|   8|   9|1001|0010| 0000|1010| 0100| 0101| 0010| 0 | 0 | 0 | 1 |REG1 shift left                   |
|  10|   9|  10|0011|0011| 0000|1010| 0011| 0101| 0010| 0 | 0 | 1 | 0 |REG3 = REG3-1,                    |
|  11|  10|   4|1010|1010| 0000|1010| 0011| 0101| 0010| 0 | 0 | 0 | 0 |if Z = 0 to 4, DON't write result |
|  12|   4|   5|0000|0000| 0000|1010| 0011| 0101| 0010| 0 | 0 | 1 | 0 |F = 1000(D) and REG1(B)           |
|  13|   5|   7|1010|1010| 0000|1010| 0011| 0101| 0010| 0 | 0 | 0 | 1 |if Z = 1, to 7, don't write result|
|  14|   7|   8|0000|0001| 0001|0100| 0011| 0101| 0010| 0 | 0 | 1 | 0 |<< {REG0(A), Q} <- 0,             |
|  15|   8|   9|0010|0100| 0001|0100| 0011| 0101| 0100| 0 | 0 | 0 | 1 |REG1 shift left                   |
|  16|   9|  10|0010|0010| 0001|0100| 0010| 0101| 0100| 0 | 0 | 0 | 0 |REG3 = REG3-1,                    |
|  17|  10|   4|0101|0101| 0001|0100| 0010| 0101| 0100| 0 | 0 | 0 | 0 |if Z = 0 to 4, DON't write result |
|  18|   4|   5|0000|0000| 0001|0100| 0010| 0101| 0100| 0 | 0 | 0 | 0 |F = 1000(D) and REG1(B)           |
|  19|   5|   7|0101|0101| 0001|0100| 0010| 0101| 0100| 0 | 0 | 0 | 1 |if Z = 1, to 7, don't write result|
|  20|   7|   8|0001|0010| 0010|1000| 0010| 0101| 0100| 0 | 0 | 0 | 0 |<< {REG0(A), Q} <- 0,             |
|  21|   8|   9|0100|1000| 0010|1000| 0010| 0101| 1000| 0 | 0 | 0 | 0 |REG1 shift left                   |
|  22|   9|  10|0001|0001| 0010|1000| 0001| 0101| 1000| 0 | 0 | 0 | 0 |REG3 = REG3-1,                    |
|  23|  10|   4|1010|1010| 0010|1000| 0001| 0101| 1000| 0 | 0 | 0 | 0 |if Z = 0 to 4, DON't write result |
|  24|   4|   5|1000|1000| 0010|1000| 0001| 0101| 1000| 0 | 0 | 1 | 0 |F = 1000(D) and REG1(B)           |
|  25|   5|   6|1010|1010| 0010|1000| 0001| 0101| 1000| 0 | 0 | 1 | 0 |if Z = 1, to 7, don't write result|
|  26|   6|   7|1101|1101| 0010|1101| 0001| 0101| 1000| 0 | 0 | 1 | 0 |Q = Q + REG2(A),                  |
|  27|   7|   8|0010|0101| 0101|1010| 0001| 0101| 1000| 0 | 0 | 1 | 0 |<< {REG0(A), Q} <- 0,             |
|  28|   8|   9|1000|0000| 0101|1010| 0001| 0101| 0000| 0 | 0 | 0 | 0 |REG1 shift left                   |
|  29|   9|  10|0000|0000| 0101|1010| 0000| 0101| 0000| 0 | 0 | 1 | 0 |REG3 = REG3-1,                    |
|  30|  10|  11|1111|1111| 0101|1010| 0000| 0101| 0000| 0 | 0 | 0 | 1 |if Z = 0 to 4, DON't write result |
|  31|  11|  12|0101|0101| 0101|1010| 0000| 0101| 0000| 0 | 0 | 1 | 0 |Y = REG0                          |
|  32|  12|  11|1010|1010| 0101|1010| 0000| 0101| 0000| 0 | 0 | 0 | 0 |Y = Q                             |
|  33|  11|  12|0101|0101| 0101|1010| 0000| 0101| 0000| 0 | 0 | 1 | 0 |Y = REG0                          |
|  34|  12|  11|1010|1010| 0101|1010| 0000| 0101| 0000| 0 | 0 | 0 | 0 |Y = Q                             |
|  35|  11|  12|0101|0101| 0101|1010| 0000| 0101| 0000| 0 | 0 | 1 | 0 |Y = REG0                          |
+----+----+----+----+----+-----+----+-----+-----+-----+---+---+---+---+----------------------------------+
